,hyperparameters,num_features,mean_accuracy,std_accuracy,train_accuracy,test_accuracy
4612,"penalty: l1, C: 0.01, solver: saga",232,0.705739577,0.060211857,0.781021898,0.760869565
4622,"penalty: l1, C: 0.01, solver: liblinear",233,0.722753665,0.068403164,0.793187348,0.760869565
4625,"penalty: l2, C: 0.0001, solver: liblinear",233,0.802874548,0.064681582,0.836982968,0.760869565
4632,"penalty: l1, C: 0.01, solver: saga",233,0.705739577,0.060211857,0.778588808,0.760869565
4642,"penalty: l1, C: 0.01, solver: liblinear",234,0.722753665,0.068403164,0.790754258,0.760869565
4645,"penalty: l2, C: 0.0001, solver: liblinear",234,0.802874548,0.064681582,0.836982968,0.760869565
4652,"penalty: l1, C: 0.01, solver: saga",234,0.703312393,0.057842958,0.778588808,0.760869565
4662,"penalty: l1, C: 0.01, solver: liblinear",235,0.72032648,0.065524091,0.793187348,0.760869565
4665,"penalty: l2, C: 0.0001, solver: liblinear",235,0.802874548,0.064681582,0.836982968,0.760869565
4672,"penalty: l1, C: 0.01, solver: saga",235,0.708166762,0.058094039,0.778588808,0.760869565
4682,"penalty: l1, C: 0.01, solver: liblinear",236,0.72032648,0.065524091,0.793187348,0.760869565
4685,"penalty: l2, C: 0.0001, solver: liblinear",236,0.802874548,0.064681582,0.836982968,0.760869565
4692,"penalty: l1, C: 0.01, solver: saga",236,0.705739577,0.060211857,0.778588808,0.760869565
4702,"penalty: l1, C: 0.01, solver: liblinear",237,0.722753665,0.068403164,0.790754258,0.760869565
4705,"penalty: l2, C: 0.0001, solver: liblinear",237,0.802874548,0.064681582,0.836982968,0.760869565
4712,"penalty: l1, C: 0.01, solver: saga",237,0.705739577,0.060211857,0.781021898,0.760869565
4722,"penalty: l1, C: 0.01, solver: liblinear",238,0.722753665,0.068403164,0.793187348,0.760869565
4725,"penalty: l2, C: 0.0001, solver: liblinear",238,0.802874548,0.064681582,0.836982968,0.760869565
4727,"penalty: l2, C: 0.01, solver: liblinear",238,0.81255949,0.082163591,0.902676399,0.760869565
4732,"penalty: l1, C: 0.01, solver: saga",238,0.705739577,0.060211857,0.781021898,0.760869565
4742,"penalty: l1, C: 0.01, solver: liblinear",239,0.722753665,0.068403164,0.793187348,0.760869565
4745,"penalty: l2, C: 0.0001, solver: liblinear",239,0.802874548,0.064681582,0.836982968,0.760869565
4747,"penalty: l2, C: 0.01, solver: liblinear",239,0.81255949,0.082163591,0.902676399,0.760869565
4752,"penalty: l1, C: 0.01, solver: saga",239,0.705739577,0.060211857,0.778588808,0.760869565
4762,"penalty: l1, C: 0.01, solver: liblinear",240,0.722753665,0.068403164,0.793187348,0.760869565
4765,"penalty: l2, C: 0.0001, solver: liblinear",240,0.802874548,0.064681582,0.836982968,0.760869565
4767,"penalty: l2, C: 0.01, solver: liblinear",240,0.81255949,0.082163591,0.902676399,0.760869565
4772,"penalty: l1, C: 0.01, solver: saga",240,0.705739577,0.055740828,0.781021898,0.760869565
4782,"penalty: l1, C: 0.01, solver: liblinear",241,0.722753665,0.068403164,0.793187348,0.760869565
4785,"penalty: l2, C: 0.0001, solver: liblinear",241,0.800447363,0.066148138,0.836982968,0.760869565
4787,"penalty: l2, C: 0.01, solver: liblinear",241,0.81501047,0.081131742,0.905109489,0.760869565
4792,"penalty: l1, C: 0.01, solver: saga",241,0.705739577,0.060211857,0.778588808,0.760869565
4802,"penalty: l1, C: 0.01, solver: liblinear",242,0.720302684,0.066658145,0.790754258,0.760869565
4805,"penalty: l2, C: 0.0001, solver: liblinear",242,0.800447363,0.066148138,0.836982968,0.760869565
4812,"penalty: l1, C: 0.01, solver: saga",242,0.705739577,0.060211857,0.781021898,0.760869565
4822,"penalty: l1, C: 0.01, solver: liblinear",243,0.72032648,0.065524091,0.793187348,0.760869565
4825,"penalty: l2, C: 0.0001, solver: liblinear",243,0.800447363,0.066148138,0.836982968,0.760869565
4832,"penalty: l1, C: 0.01, solver: saga",243,0.708166762,0.058094039,0.778588808,0.760869565
4842,"penalty: l1, C: 0.01, solver: liblinear",244,0.7178755,0.063606791,0.790754258,0.760869565
4845,"penalty: l2, C: 0.0001, solver: liblinear",244,0.800447363,0.066148138,0.836982968,0.760869565
4852,"penalty: l1, C: 0.01, solver: saga",244,0.703312393,0.057842958,0.781021898,0.760869565
4862,"penalty: l1, C: 0.01, solver: liblinear",245,0.722753665,0.068403164,0.793187348,0.760869565
4865,"penalty: l2, C: 0.0001, solver: liblinear",245,0.800447363,0.066148138,0.836982968,0.760869565
4872,"penalty: l1, C: 0.01, solver: saga",245,0.708166762,0.058094039,0.781021898,0.760869565
4882,"penalty: l1, C: 0.01, solver: liblinear",246,0.722753665,0.068403164,0.793187348,0.760869565
