FECHA,Open_WALMEXMX,High_WALMEXMX,Low_WALMEXMX,Close_WALMEXMX,Volume_WALMEXMX,Open_IXIC,High_IXIC,Low_IXIC,Close_IXIC,Volume_IXIC,Open_GSPC,High_GSPC,Low_GSPC,Close_GSPC,Volume_GSPC,Open_DJI,High_DJI,Low_DJI,Close_DJI,Volume_DJI,Open_NYA,High_NYA,Low_NYA,Close_NYA,Volume_NYA,Open_IXIC_L1,Open_IXIC_L2,Open_IXIC_L3,High_IXIC_L1,High_IXIC_L2,High_IXIC_L3,Low_IXIC_L1,Low_IXIC_L2,Low_IXIC_L3,Close_IXIC_L1,Close_IXIC_L2,Close_IXIC_L3,Volume_IXIC_L1,Volume_IXIC_L2,Volume_IXIC_L3,Open_WALMEXMX_L1,Open_WALMEXMX_L2,Open_WALMEXMX_L3,High_WALMEXMX_L1,High_WALMEXMX_L2,High_WALMEXMX_L3,Low_WALMEXMX_L1,Low_WALMEXMX_L2,Low_WALMEXMX_L3,Close_WALMEXMX_L1,Close_WALMEXMX_L2,Close_WALMEXMX_L3,Volume_WALMEXMX_L1,Volume_WALMEXMX_L2,Volume_WALMEXMX_L3,Open_GSPC_L1,Open_GSPC_L2,Open_GSPC_L3,High_GSPC_L1,High_GSPC_L2,High_GSPC_L3,Low_GSPC_L1,Low_GSPC_L2,Low_GSPC_L3,Close_GSPC_L1,Close_GSPC_L2,Close_GSPC_L3,Volume_GSPC_L1,Volume_GSPC_L2,Volume_GSPC_L3,Open_DJI_L1,Open_DJI_L2,Open_DJI_L3,High_DJI_L1,High_DJI_L2,High_DJI_L3,Low_DJI_L1,Low_DJI_L2,Low_DJI_L3,Close_DJI_L1,Close_DJI_L2,Close_DJI_L3,Volume_DJI_L1,Volume_DJI_L2,Volume_DJI_L3,Open_NYA_L1,Open_NYA_L2,Open_NYA_L3,High_NYA_L1,High_NYA_L2,High_NYA_L3,Low_NYA_L1,Low_NYA_L2,Low_NYA_L3,Close_NYA_L1,Close_NYA_L2,Close_NYA_L3,Volume_NYA_L1,Volume_NYA_L2,Volume_NYA_L3,Target
2022-01-03,74.9519873480874,75.24595813600385,72.3160811806508,72.49246215820312,10816485,15732.5,15832.7998046875,15644.08984375,15832.7998046875,4429960000,4778.14013671875,4796.64013671875,4758.169921875,4796.56005859375,3831020000,36321.58984375,36595.8203125,36246.44921875,36585.05859375,347930000,17164.130859375,17230.990234375,17119.990234375,17226.099609375,3831020000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2022-01-04,72.70803677630659,72.80603202901989,71.36558853559694,72.01231384277344,13394249,15852.1396484375,15852.1396484375,15512.41015625,15622.7197265625,5131110000,4804.509765625,4818.6201171875,4774.27001953125,4793.5400390625,4683170000,36636.0,36934.83984375,36636.0,36799.6484375,435080000,17226.099609375,17377.4296875,17226.099609375,17336.759765625,4683170000,15732.5,,,15832.7998046875,,,15644.08984375,,,15832.7998046875,,,4429960000.0,,,74.9519873480874,,,75.24595813600385,,,72.3160811806508,,,72.49246215820312,,,10816485.0,,,4778.14013671875,,,4796.64013671875,,,4758.169921875,,,4796.56005859375,,,3831020000.0,,,36321.58984375,,,36595.8203125,,,36246.44921875,,,36585.05859375,,,347930000.0,,,17164.130859375,,,17230.990234375,,,17119.990234375,,,17226.099609375,,,3831020000.0,,,0
2022-01-05,71.84572902189991,73.68792451826076,71.63995246187989,72.32587432861328,10971156,15547.16015625,15586.2998046875,15095.1796875,15100.169921875,5031850000,4787.990234375,4797.7001953125,4699.43994140625,4700.580078125,4887960000,36722.6015625,36952.6484375,36400.390625,36407.109375,462040000,17336.759765625,17415.609375,17111.970703125,17112.599609375,4887960000,15852.1396484375,15732.5,,15852.1396484375,15832.7998046875,,15512.41015625,15644.08984375,,15622.7197265625,15832.7998046875,,5131110000.0,4429960000.0,,72.70803677630659,74.9519873480874,,72.80603202901989,75.24595813600385,,71.36558853559694,72.3160811806508,,72.01231384277344,72.49246215820312,,13394249.0,10816485.0,,4804.509765625,4778.14013671875,,4818.6201171875,4796.64013671875,,4774.27001953125,4758.169921875,,4793.5400390625,4796.56005859375,,4683170000.0,3831020000.0,,36636.0,36321.58984375,,36934.83984375,36595.8203125,,36636.0,36246.44921875,,36799.6484375,36585.05859375,,435080000.0,347930000.0,,17226.099609375,17164.130859375,,17377.4296875,17230.990234375,,17226.099609375,17119.990234375,,17336.759765625,17226.099609375,,4683170000.0,3831020000.0,,1
2022-01-06,72.12989899397408,73.33516277409603,70.78744336412679,71.58116149902344,10997537,15024.150390625,15198.4501953125,14914.8701171875,15080.8603515625,4790820000,4693.39013671875,4725.009765625,4671.259765625,4696.0498046875,4295280000,36409.05078125,36464.19140625,36200.6796875,36236.46875,385890000,17112.599609375,17240.390625,17048.9609375,17156.51953125,4295280000,15547.16015625,15852.1396484375,15732.5,15586.2998046875,15852.1396484375,15832.7998046875,15095.1796875,15512.41015625,15644.08984375,15100.169921875,15622.7197265625,15832.7998046875,5031850000.0,5131110000.0,4429960000.0,71.84572902189991,72.70803677630659,74.9519873480874,73.68792451826076,72.80603202901989,75.24595813600385,71.63995246187989,71.36558853559694,72.3160811806508,72.32587432861328,72.01231384277344,72.49246215820312,10971156.0,13394249.0,10816485.0,4787.990234375,4804.509765625,4778.14013671875,4797.7001953125,4818.6201171875,4796.64013671875,4699.43994140625,4774.27001953125,4758.169921875,4700.580078125,4793.5400390625,4796.56005859375,4887960000.0,4683170000.0,3831020000.0,36722.6015625,36636.0,36321.58984375,36952.6484375,36934.83984375,36595.8203125,36400.390625,36636.0,36246.44921875,36407.109375,36799.6484375,36585.05859375,462040000.0,435080000.0,347930000.0,17336.759765625,17226.099609375,17164.130859375,17415.609375,17377.4296875,17230.990234375,17111.970703125,17226.099609375,17119.990234375,17112.599609375,17336.759765625,17226.099609375,4887960000.0,4683170000.0,3831020000.0,0
2022-01-07,71.4537743583758,71.90452410621337,70.77765347461346,71.6497573852539,10146926,15095.7197265625,15171.01953125,14877.6298828125,14935.900390625,4238070000,4697.66015625,4707.9501953125,4662.740234375,4677.02978515625,4181510000,36249.58984375,36382.83984375,36111.53125,36231.66015625,356110000,17156.51953125,17222.900390625,17107.330078125,17166.279296875,4181510000,15024.150390625,15547.16015625,15852.1396484375,15198.4501953125,15586.2998046875,15852.1396484375,14914.8701171875,15095.1796875,15512.41015625,15080.8603515625,15100.169921875,15622.7197265625,4790820000.0,5031850000.0,5131110000.0,72.12989899397408,71.84572902189991,72.70803677630659,73.33516277409603,73.68792451826076,72.80603202901989,70.78744336412679,71.63995246187989,71.36558853559694,71.58116149902344,72.32587432861328,72.01231384277344,10997537.0,10971156.0,13394249.0,4693.39013671875,4787.990234375,4804.509765625,4725.009765625,4797.7001953125,4818.6201171875,4671.259765625,4699.43994140625,4774.27001953125,4696.0498046875,4700.580078125,4793.5400390625,4295280000.0,4887960000.0,4683170000.0,36409.05078125,36722.6015625,36636.0,36464.19140625,36952.6484375,36934.83984375,36200.6796875,36400.390625,36636.0,36236.46875,36407.109375,36799.6484375,385890000.0,462040000.0,435080000.0,17112.599609375,17336.759765625,17226.099609375,17240.390625,17415.609375,17377.4296875,17048.9609375,17111.970703125,17226.099609375,17156.51953125,17112.599609375,17336.759765625,4295280000.0,4887960000.0,4683170000.0,1
2022-01-10,71.55175594066296,71.68894778559704,70.57186331905112,70.689453125,8791313,14751.7802734375,14953.849609375,14530.23046875,14942.830078125,5317180000,4655.33984375,4673.02001953125,4582.240234375,4670.2900390625,4511810000,36175.2109375,36175.2109375,35639.91015625,36068.87109375,430680000,17166.279296875,17166.279296875,16894.91015625,17119.560546875,4511810000,15095.7197265625,15024.150390625,15547.16015625,15171.01953125,15198.4501953125,15586.2998046875,14877.6298828125,14914.8701171875,15095.1796875,14935.900390625,15080.8603515625,15100.169921875,4238070000.0,4790820000.0,5031850000.0,71.4537743583758,72.12989899397408,71.84572902189991,71.90452410621337,73.33516277409603,73.68792451826076,70.77765347461346,70.78744336412679,71.63995246187989,71.6497573852539,71.58116149902344,72.32587432861328,10146926.0,10997537.0,10971156.0,4697.66015625,4693.39013671875,4787.990234375,4707.9501953125,4725.009765625,4797.7001953125,4662.740234375,4671.259765625,4699.43994140625,4677.02978515625,4696.0498046875,4700.580078125,4181510000.0,4295280000.0,4887960000.0,36249.58984375,36409.05078125,36722.6015625,36382.83984375,36464.19140625,36952.6484375,36111.53125,36200.6796875,36400.390625,36231.66015625,36236.46875,36407.109375,356110000.0,385890000.0,462040000.0,17156.51953125,17112.599609375,17336.759765625,17222.900390625,17240.390625,17415.609375,17107.330078125,17048.9609375,17111.970703125,17166.279296875,17156.51953125,17112.599609375,4181510000.0,4295280000.0,4887960000.0,0
2022-01-11,70.9638292807475,71.22840450279172,70.40529072708416,70.82664489746094,9874950,14919.259765625,15158.7099609375,14837.6298828125,15153.4501953125,4390710000,4669.14013671875,4714.1298828125,4638.27001953125,4713.06982421875,4101590000,36058.8515625,36271.46875,35769.37890625,36252.01953125,356850000,17119.560546875,17298.009765625,17053.0390625,17294.5390625,4101590000,14751.7802734375,15095.7197265625,15024.150390625,14953.849609375,15171.01953125,15198.4501953125,14530.23046875,14877.6298828125,14914.8701171875,14942.830078125,14935.900390625,15080.8603515625,5317180000.0,4238070000.0,4790820000.0,71.55175594066296,71.4537743583758,72.12989899397408,71.68894778559704,71.90452410621337,73.33516277409603,70.57186331905112,70.77765347461346,70.78744336412679,70.689453125,71.6497573852539,71.58116149902344,8791313.0,10146926.0,10997537.0,4655.33984375,4697.66015625,4693.39013671875,4673.02001953125,4707.9501953125,4725.009765625,4582.240234375,4662.740234375,4671.259765625,4670.2900390625,4677.02978515625,4696.0498046875,4511810000.0,4181510000.0,4295280000.0,36175.2109375,36249.58984375,36409.05078125,36175.2109375,36382.83984375,36464.19140625,35639.91015625,36111.53125,36200.6796875,36068.87109375,36231.66015625,36236.46875,430680000.0,356110000.0,385890000.0,17166.279296875,17156.51953125,17112.599609375,17166.279296875,17222.900390625,17240.390625,16894.91015625,17107.330078125,17048.9609375,17119.560546875,17166.279296875,17156.51953125,4511810000.0,4181510000.0,4295280000.0,1
2022-01-12,70.61105964809643,71.91431862403961,70.61105964809643,71.26759338378906,13043111,15263.099609375,15319.0302734375,15117.2900390625,15188.3896484375,4338530000,4728.58984375,4748.830078125,4706.7099609375,4726.35009765625,4048220000,36336.16015625,36453.48828125,36168.1484375,36290.3203125,310180000,17294.5390625,17406.16015625,17273.810546875,17353.759765625,4048220000,14919.259765625,14751.7802734375,15095.7197265625,15158.7099609375,14953.849609375,15171.01953125,14837.6298828125,14530.23046875,14877.6298828125,15153.4501953125,14942.830078125,14935.900390625,4390710000.0,5317180000.0,4238070000.0,70.9638292807475,71.55175594066296,71.4537743583758,71.22840450279172,71.68894778559704,71.90452410621337,70.40529072708416,70.57186331905112,70.77765347461346,70.82664489746094,70.689453125,71.6497573852539,9874950.0,8791313.0,10146926.0,4669.14013671875,4655.33984375,4697.66015625,4714.1298828125,4673.02001953125,4707.9501953125,4638.27001953125,4582.240234375,4662.740234375,4713.06982421875,4670.2900390625,4677.02978515625,4101590000.0,4511810000.0,4181510000.0,36058.8515625,36175.2109375,36249.58984375,36271.46875,36175.2109375,36382.83984375,35769.37890625,35639.91015625,36111.53125,36252.01953125,36068.87109375,36231.66015625,356850000.0,430680000.0,356110000.0,17119.560546875,17166.279296875,17156.51953125,17298.009765625,17166.279296875,17222.900390625,17053.0390625,16894.91015625,17107.330078125,17294.5390625,17119.560546875,17166.279296875,4101590000.0,4511810000.0,4181510000.0,1
2022-01-13,71.15980254743218,71.75753762516149,70.07212117490754,70.40528106689453,14271331,15245.0400390625,15259.7099609375,14782.240234375,14806.8095703125,4302020000,4733.56005859375,4744.1298828125,4650.2900390625,4659.02978515625,4251730000,36312.48828125,36513.87890625,36044.21875,36113.62109375,343640000,17353.759765625,17442.5390625,17230.119140625,17259.01953125,4251730000,15263.099609375,14919.259765625,14751.7802734375,15319.0302734375,15158.7099609375,14953.849609375,15117.2900390625,14837.6298828125,14530.23046875,15188.3896484375,15153.4501953125,14942.830078125,4338530000.0,4390710000.0,5317180000.0,70.61105964809643,70.9638292807475,71.55175594066296,71.91431862403961,71.22840450279172,71.68894778559704,70.61105964809643,70.40529072708416,70.57186331905112,71.26759338378906,70.82664489746094,70.689453125,13043111.0,9874950.0,8791313.0,4728.58984375,4669.14013671875,4655.33984375,4748.830078125,4714.1298828125,4673.02001953125,4706.7099609375,4638.27001953125,4582.240234375,4726.35009765625,4713.06982421875,4670.2900390625,4048220000.0,4101590000.0,4511810000.0,36336.16015625,36058.8515625,36175.2109375,36453.48828125,36271.46875,36175.2109375,36168.1484375,35769.37890625,35639.91015625,36290.3203125,36252.01953125,36068.87109375,310180000.0,356850000.0,430680000.0,17294.5390625,17119.560546875,17166.279296875,17406.16015625,17298.009765625,17166.279296875,17273.810546875,17053.0390625,16894.91015625,17353.759765625,17294.5390625,17119.560546875,4048220000.0,4101590000.0,4511810000.0,0
2022-01-14,70.464088530349,70.464088530349,69.84675133696427,70.02313232421875,13923854,14708.01953125,14897.6796875,14689.4296875,14893.75,4374020000,4637.990234375,4665.1298828125,4614.75,4662.85009765625,4338490000,35996.4296875,35996.4296875,35641.48828125,35911.80859375,389200000,17259.01953125,17259.01953125,17056.669921875,17219.060546875,4338490000,15245.0400390625,15263.099609375,14919.259765625,15259.7099609375,15319.0302734375,15158.7099609375,14782.240234375,15117.2900390625,14837.6298828125,14806.8095703125,15188.3896484375,15153.4501953125,4302020000.0,4338530000.0,4390710000.0,71.15980254743218,70.61105964809643,70.9638292807475,71.75753762516149,71.91431862403961,71.22840450279172,70.07212117490754,70.61105964809643,70.40529072708416,70.40528106689453,71.26759338378906,70.82664489746094,14271331.0,13043111.0,9874950.0,4733.56005859375,4728.58984375,4669.14013671875,4744.1298828125,4748.830078125,4714.1298828125,4650.2900390625,4706.7099609375,4638.27001953125,4659.02978515625,4726.35009765625,4713.06982421875,4251730000.0,4048220000.0,4101590000.0,36312.48828125,36336.16015625,36058.8515625,36513.87890625,36453.48828125,36271.46875,36044.21875,36168.1484375,35769.37890625,36113.62109375,36290.3203125,36252.01953125,343640000.0,310180000.0,356850000.0,17353.759765625,17294.5390625,17119.560546875,17442.5390625,17406.16015625,17298.009765625,17230.119140625,17273.810546875,17053.0390625,17259.01953125,17353.759765625,17294.5390625,4251730000.0,4048220000.0,4101590000.0,0
